0, 0, 0
1, 0, 1
2, 0, 2
3, 1, 2
4, 1, 3
5, 1, 4
5, 1, 5
6, 2, 6
7, 2, 7
8, 2, 8
9, 2, 9
10, 3, 9
10, 3, 10
11, 3, 11
12, 3, 12
13, 4, 13
13, 4, 14
14, 4, 15
15, 5, 16
16, 5, 17
16, 5, 18
17, 6, 20
17, 6, 21
18, 6, 22
19, 7, 23
19, 7, 24
20, 7, 25
20, 8, 26
21, 8, 27
21, 8, 28
22, 9, 29
22, 9, 30
23, 10, 31
23, 10, 33
23, 11, 34
24, 11, 35
24, 11, 36
24, 12, 37
25, 12, 38
25, 13, 39
25, 13, 40
26, 14, 41
26, 14, 43
26, 15, 44
26, 16, 45
26, 16, 46
27, 17, 47
27, 17, 48
27, 18, 49
27, 18, 50
27, 19, 51
27, 20, 52
27, 20, 53
27, 21, 54
27, 21, 55
27, 22, 56
27, 23, 57
27, 23, 58
27, 24, 59
27, 25, 60
27, 25, 61
27, 26, 62
27, 27, 63
27, 28, 64
27, 28, 65
27, 29, 66
27, 30, 67
27, 31, 67
26, 31, 68
26, 32, 69
26, 33, 70
26, 34, 71
26, 35, 71
25, 35, 72
25, 36, 73
25, 37, 74
25, 38, 74
25, 39, 75
24, 39, 76
24, 40, 76
24, 41, 77
24, 42, 78
23, 43, 78
23, 44, 79
23, 45, 79
22, 46, 80
22, 47, 80
22, 47, 81
22, 48, 81
21, 49, 82
21, 50, 82
21, 51, 82
20, 52, 83
20, 53, 83
20, 54, 83
20, 55, 84
19, 56, 84
19, 57, 84
19, 58, 84
18, 59, 85
18, 60, 85
18, 61, 85
18, 62, 85
17, 62, 85
17, 63, 85
17, 64, 85
17, 65, 85
16, 66, 85
16, 67, 85
16, 68, 85
16, 69, 85
15, 70, 85
15, 71, 85
15, 72, 85
15, 73, 85
15, 74, 85
15, 75, 85
14, 76, 84
14, 77, 84
14, 78, 84
14, 79, 84
14, 80, 83
14, 81, 83
14, 82, 83
14, 82, 82
14, 83, 82
14, 84, 82
14, 85, 81
14, 86, 81
14, 87, 81
14, 88, 80
14, 89, 80
14, 90, 79
14, 91, 79
14, 92, 78
14, 92, 78
15, 93, 77
15, 94, 77
15, 95, 76
15, 96, 76
15, 97, 75
16, 97, 74
16, 98, 74
16, 99, 73
17, 100, 73
17, 101, 72
17, 101, 71
18, 102, 71
18, 103, 70
19, 104, 69
19, 104, 69
20, 105, 68
20, 106, 67
21, 107, 67
21, 107, 66
22, 108, 65
22, 109, 65
23, 109, 64
24, 110, 63
24, 111, 62
25, 111, 62
26, 112, 61
26, 112, 60
27, 113, 60
28, 114, 59
29, 114, 58
30, 115, 57
30, 115, 57
31, 116, 56
32, 116, 55
33, 117, 55
34, 117, 54
35, 118, 53
36, 118, 53
37, 119, 52
38, 119, 51
39, 120, 51
40, 120, 50
41, 120, 49
42, 121, 49
44, 121, 48
45, 122, 47
46, 122, 47
47, 122, 46
48, 123, 46
50, 123, 45
51, 123, 45
52, 123, 44
53, 124, 43
55, 124, 43
56, 124, 42
57, 125, 42
59, 125, 42
60, 125, 41
62, 125, 41
63, 125, 40
65, 126, 40
66, 126, 39
67, 126, 39
69, 126, 39
70, 126, 38
72, 126, 38
74, 126, 38
75, 126, 38
77, 127, 37
78, 127, 37
80, 127, 37
81, 127, 37
83, 127, 37
85, 127, 37
86, 127, 37
88, 127, 36
90, 127, 36
91, 127, 36
93, 127, 36
95, 127, 36
96, 127, 36
98, 127, 37
100, 127, 37
102, 127, 37
103, 127, 37
105, 127, 37
107, 127, 37
108, 126, 38
110, 126, 38
112, 126, 38
114, 126, 39
115, 126, 39
117, 126, 39
119, 126, 40
121, 126, 40
122, 126, 41
